t,reference,error,actual,dt,mdot
0,80,80,1.6,0.04,80000
1,80,78.4,4.768,0.04,78400
2,80,75.232,7.84064,0.04,75232
3,80,72.1594,10.7885,0.04,72159.4
4,80,69.2115,13.6159,0.04,69211.5
5,80,66.3841,16.3278,0.04,66384.1
6,80,63.6722,18.9289,0.04,63672.2
7,80,61.0711,21.4238,0.04,61071.1
8,80,58.5762,23.8167,0.04,58576.2
9,80,56.1833,26.1119,0.04,56183.3
10,80,53.8881,28.3134,0.04,53888.1
11,80,51.6866,30.4248,0.04,51686.6
12,80,49.5752,32.4501,0.04,49575.2
13,80,47.5499,34.3926,0.04,47549.9
14,80,45.6074,36.2557,0.04,45607.4
15,80,43.7443,38.0428,0.04,43744.3
16,80,41.9572,39.7568,0.04,41957.2
17,80,40.2432,41.4008,0.04,40243.2
18,80,38.5992,42.9777,0.04,38599.2
19,80,37.0223,44.4901,0.04,37022.3
20,80,35.5099,45.9407,0.04,35509.9
21,80,34.0593,47.3321,0.04,34059.3
22,80,32.6679,48.6667,0.04,32667.9
23,80,31.3333,49.9467,0.04,31333.3
24,80,30.0533,51.1744,0.04,30053.3
25,80,28.8256,52.352,0.04,28825.6
26,80,27.648,53.4815,0.04,27648
27,80,26.5185,54.5648,0.04,26518.5
28,80,25.4352,55.6039,0.04,25435.2
29,80,24.3961,56.6005,0.04,24396.1
30,80,23.3995,57.5564,0.04,23399.5
31,80,22.4436,58.4733,0.04,22443.6
32,80,21.5267,59.3527,0.04,21526.7
33,80,20.6473,60.1962,0.04,20647.3
34,80,19.8038,61.0052,0.04,19803.8
35,80,18.9948,61.7812,0.04,18994.8
36,80,18.2188,62.5254,0.04,18218.8
37,80,17.4746,63.2393,0.04,17474.6
38,80,16.7607,63.924,0.04,16760.7
39,80,16.076,64.5807,0.04,16076
40,80,15.4193,65.2106,0.04,15419.3
41,80,14.7894,65.8148,0.04,14789.4
42,80,14.1852,66.3943,0.04,14185.2
43,80,13.6057,66.9501,0.04,13605.7
44,80,13.0499,67.4832,0.04,13049.9
45,80,12.5168,67.9946,0.04,12516.8
46,80,12.0054,68.485,0.04,12005.4
47,80,11.515,68.9554,0.04,11515
48,80,11.0446,69.4066,0.04,11044.6
49,80,10.5934,69.8394,0.04,10593.4
50,80,10.1606,70.2544,0.04,10160.6
51,80,9.74555,70.6526,0.04,9745.55
52,80,9.34743,71.0344,0.04,9347.43
53,80,8.96557,71.4007,0.04,8965.57
54,80,8.59931,71.752,0.04,8599.31
55,80,8.24801,72.0889,0.04,8248.01
56,80,7.91106,72.4121,0.04,7911.06
57,80,7.58788,72.7221,0.04,7587.88
58,80,7.2779,73.0194,0.04,7277.9
59,80,6.98059,73.3046,0.04,6980.59
60,80,6.69542,73.5781,0.04,6695.42
61,80,6.4219,73.8404,0.04,6421.9
62,80,6.15955,74.0921,0.04,6159.55
63,80,5.90792,74.3334,0.04,5907.92
64,80,5.66657,74.5649,0.04,5666.57
65,80,5.43508,74.787,0.04,5435.08
66,80,5.21305,74.9999,0.04,5213.05
67,80,5.00009,75.2042,0.04,5000.09
68,80,4.79582,75.4001,0.04,4795.82
69,80,4.59991,75.588,0.04,4599.91
70,80,4.41199,75.7682,0.04,4411.99
71,80,4.23175,75.9411,0.04,4231.75
72,80,4.05888,76.1069,0.04,4058.88
73,80,3.89307,76.266,0.04,3893.07
74,80,3.73403,76.4185,0.04,3734.03
75,80,3.58149,76.5648,0.04,3581.49
76,80,3.43517,76.7052,0.04,3435.17
77,80,3.29484,76.8398,0.04,3294.84
78,80,3.16024,76.9689,0.04,3160.24
79,80,3.03114,77.0927,0.04,3031.14
80,80,2.90731,77.2115,0.04,2907.31
81,80,2.78854,77.3254,0.04,2788.54
82,80,2.67463,77.4346,0.04,2674.63
83,80,2.56536,77.5394,0.04,2565.36
84,80,2.46056,77.64,0.04,2460.56
85,80,2.36004,77.7364,0.04,2360.04
86,80,2.26363,77.8288,0.04,2263.63
87,80,2.17116,77.9175,0.04,2171.16
88,80,2.08246,78.0026,0.04,2082.46
89,80,1.99739,78.0842,0.04,1997.39
90,80,1.91579,78.1625,0.04,1915.79
91,80,1.83753,78.2375,0.04,1837.53
92,80,1.76246,78.3095,0.04,1762.46
93,80,1.69046,78.3786,0.04,1690.46
94,80,1.6214,78.4448,0.04,1621.4
95,80,1.55517,78.5084,0.04,1555.17
96,80,1.49164,78.5693,0.04,1491.64
97,80,1.4307,78.6277,0.04,1430.7
98,80,1.37225,78.6838,0.04,1372.25
99,80,1.31619,78.7376,0.04,1316.19
100,80,1.26243,78.7891,0.04,1262.43
101,80,1.21085,78.8386,0.04,1210.85
102,80,1.16139,78.8861,0.04,1161.39
103,80,1.11394,78.9316,0.04,1113.94
104,80,1.06844,78.9752,0.04,1068.44
105,80,1.02479,79.0171,0.04,1024.79
106,80,0.982924,79.0572,0.04,982.924
107,80,0.94277,79.0957,0.04,942.77
108,80,0.904256,79.1327,0.04,904.256
109,80,0.867315,79.1681,0.04,867.315
110,80,0.831884,79.2021,0.04,831.884
111,80,0.7979,79.2347,0.04,797.9
112,80,0.765304,79.266,0.04,765.304
113,80,0.73404,79.2959,0.04,734.04
114,80,0.704053,79.3247,0.04,704.053
115,80,0.675291,79.3523,0.04,675.291
116,80,0.647704,79.3788,0.04,647.704
117,80,0.621245,79.4041,0.04,621.245
118,80,0.595866,79.4285,0.04,595.866
119,80,0.571523,79.4518,0.04,571.523
120,80,0.548176,79.4742,0.04,548.176
121,80,0.525782,79.4957,0.04,525.782
122,80,0.504302,79.5163,0.04,504.302
123,80,0.483701,79.5361,0.04,483.701
124,80,0.463941,79.555,0.04,463.941
125,80,0.444988,79.5732,0.04,444.988
126,80,0.426809,79.5906,0.04,426.809
127,80,0.409373,79.6074,0.04,409.373
128,80,0.39265,79.6234,0.04,392.65
129,80,0.376609,79.6388,0.04,376.609
130,80,0.361224,79.6535,0.04,361.224
131,80,0.346467,79.6677,0.04,346.467
132,80,0.332314,79.6813,0.04,332.314
133,80,0.318738,79.6943,0.04,318.738
134,80,0.305717,79.7068,0.04,305.717
135,80,0.293228,79.7188,0.04,293.228
136,80,0.281249,79.7302,0.04,281.249
137,80,0.269759,79.7413,0.04,269.759
138,80,0.258739,79.7518,0.04,258.739
139,80,0.248169,79.762,0.04,248.169
140,80,0.238031,79.7717,0.04,238.031
141,80,0.228307,79.781,0.04,228.307
142,80,0.21898,79.79,0.04,218.98
143,80,0.210035,79.7985,0.04,210.035
144,80,0.201454,79.8068,0.04,201.454
145,80,0.193224,79.8147,0.04,193.224
146,80,0.185331,79.8222,0.04,185.331
147,80,0.17776,79.8295,0.04,177.76
148,80,0.170498,79.8365,0.04,170.498
149,80,0.163533,79.8431,0.04,163.533
150,80,0.156852,79.8496,0.04,156.852
151,80,0.150445,79.8557,0.04,150.445
152,80,0.144299,79.8616,0.04,144.299
153,80,0.138404,79.8673,0.04,138.404
154,80,0.13275,79.8727,0.04,132.75
155,80,0.127327,79.8779,0.04,127.327
156,80,0.122125,79.8829,0.04,122.125
157,80,0.117136,79.8876,0.04,117.136
158,80,0.112351,79.8922,0.04,112.351
159,80,0.107761,79.8966,0.04,107.761
160,80,0.103359,79.9009,0.04,103.359
161,80,0.0991364,79.9049,0.04,99.1364
162,80,0.0950865,79.9088,0.04,95.0865
163,80,0.0912021,79.9125,0.04,91.2021
164,80,0.0874763,79.9161,0.04,87.4763
165,80,0.0839027,79.9195,0.04,83.9027
166,80,0.0804752,79.9228,0.04,80.4752
167,80,0.0771876,79.926,0.04,77.1876
168,80,0.0740343,79.929,0.04,74.0343
169,80,0.0710099,79.9319,0.04,71.0099
170,80,0.068109,79.9347,0.04,68.109
171,80,0.0653266,79.9373,0.04,65.3266
172,80,0.0626579,79.9399,0.04,62.6579
173,80,0.0600982,79.9424,0.04,60.0982
174,80,0.0576431,79.9447,0.04,57.6431
175,80,0.0552883,79.947,0.04,55.2883
176,80,0.0530297,79.9491,0.04,53.0297
177,80,0.0508633,79.9512,0.04,50.8633
178,80,0.0487854,79.9532,0.04,48.7854
179,80,0.0467925,79.9551,0.04,46.7925
180,80,0.0448809,79.957,0.04,44.8809
181,80,0.0430474,79.9587,0.04,43.0474
182,80,0.0412889,79.9604,0.04,41.2889
183,80,0.0396021,79.962,0.04,39.6021
184,80,0.0379843,79.9636,0.04,37.9843
185,80,0.0364326,79.9651,0.04,36.4326
186,80,0.0349443,79.9665,0.04,34.9443
187,80,0.0335167,79.9679,0.04,33.5167
188,80,0.0321475,79.9692,0.04,32.1475
189,80,0.0308342,79.9704,0.04,30.8342
190,80,0.0295746,79.9716,0.04,29.5746
191,80,0.0283664,79.9728,0.04,28.3664
192,80,0.0272076,79.9739,0.04,27.2076
193,80,0.0260961,79.975,0.04,26.0961
194,80,0.02503,79.976,0.04,25.03
195,80,0.0240075,79.977,0.04,24.0075
196,80,0.0230268,79.9779,0.04,23.0268
197,80,0.0220861,79.9788,0.04,22.0861
198,80,0.0211838,79.9797,0.04,21.1838
199,80,0.0203184,79.9805,0.04,20.3184
200,80,0.0194884,79.9813,0.04,19.4884
201,80,0.0186922,79.9821,0.04,18.6922
202,80,0.0179286,79.9828,0.04,17.9286
203,80,0.0171962,79.9835,0.04,17.1962
204,80,0.0164937,79.9842,0.04,16.4937
205,80,0.0158199,79.9848,0.04,15.8199
206,80,0.0151736,79.9854,0.04,15.1736
207,80,0.0145538,79.986,0.04,14.5538
208,80,0.0139592,79.9866,0.04,13.9592
209,80,0.013389,79.9872,0.04,13.389
210,80,0.012842,79.9877,0.04,12.842
211,80,0.0123174,79.9882,0.04,12.3174
212,80,0.0118142,79.9887,0.04,11.8142
213,80,0.0113316,79.9891,0.04,11.3316
214,80,0.0108686,79.9896,0.04,10.8686
215,80,0.0104246,79.99,0.04,10.4246
216,80,0.00999878,79.9904,0.04,9.99878
217,80,0.00959031,79.9908,0.04,9.59031
218,80,0.00919853,79.9912,0.04,9.19853
219,80,0.00882275,79.9915,0.04,8.82275
220,80,0.00846232,79.9919,0.04,8.46232
221,80,0.00811662,79.9922,0.04,8.11662
222,80,0.00778504,79.9925,0.04,7.78504
223,80,0.00746701,79.9928,0.04,7.46701
224,80,0.00716197,79.9931,0.04,7.16197
225,80,0.00686939,79.9934,0.04,6.86939
226,80,0.00658876,79.9937,0.04,6.58876
227,80,0.0063196,79.9939,0.04,6.3196
228,80,0.00606143,79.9942,0.04,6.06143
229,80,0.00581381,79.9944,0.04,5.81381
230,80,0.00557631,79.9947,0.04,5.57631
231,80,0.0053485,79.9949,0.04,5.3485
232,80,0.00513001,79.9951,0.04,5.13001
233,80,0.00492044,79.9953,0.04,4.92044
234,80,0.00471943,79.9955,0.04,4.71943
235,80,0.00452663,79.9957,0.04,4.52663
236,80,0.00434171,79.9958,0.04,4.34171
237,80,0.00416434,79.996,0.04,4.16434
238,80,0.00399422,79.9962,0.04,3.99422
239,80,0.00383105,79.9963,0.04,3.83105
240,80,0.00367455,79.9965,0.04,3.67455
241,80,0.00352443,79.9966,0.04,3.52443
242,80,0.00338045,79.9968,0.04,3.38045
243,80,0.00324236,79.9969,0.04,3.24236
244,80,0.0031099,79.997,0.04,3.1099
245,80,0.00298286,79.9971,0.04,2.98286
246,80,0.002861,79.9973,0.04,2.861
247,80,0.00274412,79.9974,0.04,2.74412
248,80,0.00263202,79.9975,0.04,2.63202
249,80,0.0025245,79.9976,0.04,2.5245
